,PostalCode,Borough,Neighborhood,Latitude,Longitude
0,H1A,Pointe-aux-Trembles,Pointe-aux-Trembles,45.6416665,-73.5004013
1,H2A,Saint-MichelEast,Saint-MichelEast,52.9399159,-73.5491361
2,H3A,Downtown MontrealNorth,McGill University,45.50478469999999,-73.5771511
3,H4A,Notre-Dame-de-GrâceNortheast,Notre-Dame-de-GrâceNortheast,45.4651745,-73.6322193
4,H5A,Place Bonaventure,Place Bonaventure,45.49944439999999,-73.565
5,H7A,Duvernay-Est,Duvernay-Est,45.6472189,-73.6152384
6,H9A,Dollard-des-OrmeauxNorthwest,Dollard-des-OrmeauxNorthwest,45.4895636,-73.8205567
7,H1B,Montreal East,Montreal East,45.6320003,-73.5066981
8,H2B,AhuntsicNorth,AhuntsicNorth,45.5552352,-73.6682027
9,H3B,Downtown MontrealEast,Downtown MontrealEast,45.5034801,-73.5684895
10,H4B,Notre-Dame-de-GrâceSouthwest,Notre-Dame-de-GrâceSouthwest,45.4651745,-73.6322193
11,H5B,Place Desjardins,Place Desjardins,45.5071137,-73.56362179999999
12,H7B,Saint-François,Saint-François,47.0192623,-70.75147869999999
13,H9B,Dollard-des-OrmeauxEast,Dollard-des-OrmeauxEast,45.4895636,-73.8205567
14,H1C,Rivière-des-PrairiesNortheast,Rivière-des-PrairiesNortheast,45.6730725,-73.5186648
15,H2C,AhuntsicCentral,AhuntsicCentral,45.5552352,-73.6682027
16,H3C,Griffintown,Includes Île Notre-Dame & Île Sainte-Hélène,45.5189876,-73.5341937
17,H4C,Saint-Henri,Saint-Henri,46.6694941,-71.0525292
18,H7C,Saint-Vincent-de-Paul,Saint-Vincent-de-Paul,46.838251,-71.2297739
19,H9C,L'Île-BizardNortheast,L'Île-BizardNortheast,52.9399159,-73.5491361
20,H1E,Rivière-des-PrairiesSouthwest,Rivière-des-PrairiesSouthwest,45.6730725,-73.5186648
21,H2E,VillerayNortheast,VillerayNortheast,45.5481165,-73.624751
22,H3E,L'Île-Des-Soeurs,L'Île-Des-Soeurs,45.4622419,-73.5463153
23,H4E,Ville Émard,Ville Émard,45.45587159999999,-73.59822079999999
24,H7E,Duvernay,Duvernay,45.5995734,-73.66877790000001
25,H9E,L'Île-BizardSouthwest,L'Île-BizardSouthwest,52.9399159,-73.5491361
26,H1G,Montréal-NordNorth,Montréal-NordNorth,45.5016889,-73.567256
27,H2G,Petite-PatrieNortheast,Petite-PatrieNortheast,45.5378032,-73.6015255
