,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Pointe-aux-Trembles,45.6416665,-73.5004013,Subway,45.641076493729834,-73.50133439357592,Sandwich Place
1,Pointe-aux-Trembles,45.6416665,-73.5004013,PFK,45.64236976168947,-73.50342847015501,Fast Food Restaurant
2,Pointe-aux-Trembles,45.6416665,-73.5004013,Dic Ann’s,45.641219,-73.501674,Fast Food Restaurant
3,Pointe-aux-Trembles,45.6416665,-73.5004013,Thaï mix,45.642294,-73.502373,Asian Restaurant
4,Pointe-aux-Trembles,45.6416665,-73.5004013,Pizza Hut,45.64155037585188,-73.50354552268982,Pizza Place
5,Pointe-aux-Trembles,45.6416665,-73.5004013,Double Pizza,45.641987,-73.504305,Pizza Place
6,Pointe-aux-Trembles,45.6416665,-73.5004013,Kuy-To Sushi,45.64265608048974,-73.5048757706063,Sushi Restaurant
7,McGill University,45.50478469999999,-73.5771511,Café Humble Lion,45.50336946261605,-73.57504444945856,Café
8,McGill University,45.50478469999999,-73.5771511,Lola Rosa Café,45.50730715365404,-73.57571387713692,Vegetarian / Vegan Restaurant
9,McGill University,45.50478469999999,-73.5771511,Vua Sandwichs,45.504301255989574,-73.57234613439306,Sandwich Place
10,McGill University,45.50478469999999,-73.5771511,Pizzeria No. 900,45.501439177960776,-73.57539279790367,Pizza Place
11,McGill University,45.50478469999999,-73.5771511,Le Taj,45.50092906364034,-73.57670153450594,Indian Restaurant
12,McGill University,45.50478469999999,-73.5771511,Soubois,45.50082811303266,-73.57476426036128,Restaurant
13,McGill University,45.50478469999999,-73.5771511,Universel Déjeuners et Grillades,45.50149454677085,-73.57568346615649,Breakfast Spot
14,McGill University,45.50478469999999,-73.5771511,L'Entrecôte Saint-Jean,45.50113999462759,-73.57511190778858,Steakhouse
15,McGill University,45.50478469999999,-73.5771511,Sakura,45.50072223029415,-73.57892970629351,Japanese Restaurant
16,McGill University,45.50478469999999,-73.5771511,Nippon Sushi,45.500759195787325,-73.57491230905975,Sushi Restaurant
